textgrid_path,wav_path,textgrid_first_phoneme_start,audio_voice_start,delta_seconds,status,message
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\bvt\sub009_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\bvt\sub009_bvt_audio.wav,1.590000,1.593500,-0.003500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\grandfather1\sub009_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\grandfather1\sub009_grandfather1_audio.wav,1.890000,1.914187,-0.024188,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\northwind1\sub009_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\northwind1\sub009_northwind1_audio.wav,1.560000,1.574938,-0.014938,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\picture2\sub009_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\picture2\sub009_picture2_audio.wav,3.040000,3.033562,0.006438,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\rainbow\sub009_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\rainbow\sub009_rainbow_audio.wav,1.450000,1.460875,-0.010875,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\shibboleth\sub009_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\shibboleth\sub009_shibboleth_audio.wav,1.750000,1.903000,-0.153000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\alignments\topic2\sub009_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub009\audios\topic2\sub009_topic2_audio.wav,3.040000,3.083250,-0.043250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\bvt\sub013_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\bvt\sub013_bvt_audio.wav,2.050000,2.045875,0.004125,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\grandfather1\sub013_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\grandfather1\sub013_grandfather1_audio.wav,2.510000,2.574750,-0.064750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\grandfather2\sub013_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\grandfather2\sub013_grandfather2_audio.wav,1.750000,2.506937,-0.756937,ok,
