sample_key,audio_path,video_path,textgrid_path,audio_duration_hms,video_duration_hms,textgrid_duration_hms,audio_error,video_error,textgrid_error,audio_duration_seconds,video_duration_seconds,textgrid_duration_seconds
sub009_bvt,sub009\audios\bvt\sub009_bvt_audio.wav,sub009\videos\bvt\sub009_bvt_video.mp4,,00:00:30.836,00:00:30.836,,,,,30.836188,30.836009,
sub009_bvt_alignment,,,sub009\alignments\bvt\sub009_bvt_alignment.textgrid,,,00:00:31.949,,,,,,31.9488
sub009_grandfather1,sub009\audios\grandfather1\sub009_grandfather1_audio.wav,sub009\videos\grandfather1\sub009_grandfather1_video.mp4,,00:00:52.756,00:00:52.756,,,,,52.75575,52.756009,
sub009_grandfather1_alignment,,,sub009\alignments\grandfather1\sub009_grandfather1_alignment.textgrid,,,00:00:53.330,,,,,,53.32995
sub009_northwind1,sub009\audios\northwind1\sub009_northwind1_audio.wav,sub009\videos\northwind1\sub009_northwind1_video.mp4,,00:00:39.149,00:00:39.149,,,,,39.148938,39.14898,
sub009_northwind1_alignment,,,sub009\alignments\northwind1\sub009_northwind1_alignment.textgrid,,,00:00:47.759,,,,,,47.7594
sub009_picture2,sub009\audios\picture2\sub009_picture2_audio.wav,sub009\videos\picture2\sub009_picture2_video.mp4,,00:00:33.715,00:00:33.715,,,,,33.715438,33.715011,
sub009_picture2_alignment,,,sub009\alignments\picture2\sub009_picture2_alignment.textgrid,,,00:00:34.161,,,,,,34.16065
sub009_rainbow,sub009\audios\rainbow\sub009_rainbow_audio.wav,sub009\videos\rainbow\sub009_rainbow_video.mp4,,00:00:35.944,00:00:35.944,,,,,35.9445,35.943991,
sub009_rainbow_alignment,,,sub009\alignments\rainbow\sub009_rainbow_alignment.textgrid,,,00:00:36.454,,,,,,36.4544
sub009_shibboleth,sub009\audios\shibboleth\sub009_shibboleth_audio.wav,sub009\videos\shibboleth\sub009_shibboleth_video.mp4,,00:00:26.332,00:00:26.331,,,,,26.3315,26.33102,
sub009_shibboleth_alignment,,,sub009\alignments\shibboleth\sub009_shibboleth_alignment.textgrid,,,00:00:26.788,,,,,,26.78785
sub009_topic2,sub009\audios\topic2\sub009_topic2_audio.wav,sub009\videos\topic2\sub009_topic2_video.mp4,,00:00:33.530,00:00:33.533,,,,,33.529688,33.533008,
sub009_topic2_alignment,,,sub009\alignments\topic2\sub009_topic2_alignment.textgrid,,,00:00:34.079,,,,,,34.07875
sub013_bvt,sub013\audios\bvt\sub013_bvt_audio.wav,sub013\videos\bvt\sub013_bvt_video.mp4,,00:00:30.474,00:00:29.907,,,,,30.47425,29.906984,
sub013_bvt_alignment,,,sub013\alignments\bvt\sub013_bvt_alignment.textgrid,,,00:00:30.474,,,,,,30.47425
sub013_grandfather1,sub013\audios\grandfather1\sub013_grandfather1_audio.wav,sub013\videos\grandfather1\sub013_grandfather1_video.mp4,,00:00:27.525,00:00:26.935,,,,,27.525188,26.935011,
sub013_grandfather1_alignment,,,sub013\alignments\grandfather1\sub013_grandfather1_alignment.textgrid,,,00:00:27.525,,,,,,27.52515
sub013_grandfather2,sub013\audios\grandfather2\sub013_grandfather2_audio.wav,sub013\videos\grandfather2\sub013_grandfather2_video.mp4,,00:00:24.248,00:00:23.777,,,,,24.248375,23.777007,
sub013_grandfather2_alignment,,,sub013\alignments\grandfather2\sub013_grandfather2_alignment.textgrid,,,00:00:24.248,,,,,,24.24835
sub013_northwind1,sub013\audios\northwind1\sub013_northwind1_audio.wav,sub013\videos\northwind1\sub013_northwind1_video.mp4,,00:00:18.678,00:00:18.251,,,,,18.677813,18.25102,
sub013_northwind1_alignment,,,sub013\alignments\northwind1\sub013_northwind1_alignment.textgrid,,,00:00:18.678,,,,,,18.6778
sub013_northwind2,sub013\audios\northwind2\sub013_northwind2_audio.wav,sub013\videos\northwind2\sub013_northwind2_video.mp4,,00:00:25.231,00:00:24.706,,,,,25.231437,24.705986,
sub013_northwind2_alignment,,,sub013\alignments\northwind2\sub013_northwind2_alignment.textgrid,,,00:00:25.231,,,,,,25.2314
